"X","fov","volume","center_x","center_y"
42051,1599,819.341784792048,6739.96876187215,7337.50698622993
41450,1600,582.136118721896,6448.15340106323,7275.07962027746
43040,1601,1442.29250706866,6251.7011294354,7259.66387923619
44941,1601,1106.35424932614,6202.85550363685,7399.02513933311
45581,1601,443.837232350632,6172.34552369674,7434.50065545515
49376,1603,632.694492901065,5827.43112839486,7251.92707445309
49385,1603,697.242104286493,5861.31668149843,7257.81716035199
58660,1603,1758.38830798272,5743.83586366123,7375.55724385665
53148,1605,1581.87961499431,5440.52951269245,7299.31795987415
53386,1605,270.677268483166,5430.71963211833,7425.89372293658
53890,1605,620.483967802125,5336.83758083417,7301.4545169324
53178,1606,1489.49405243156,5178.5154970775,7321.14242786259
11580,1607,916.297846955971,5109.29346875015,7282.85562735234
11780,1607,107.096856252157,5006.35518071297,7458.96256136719
12049,1607,412.251526408843,5035.76343517198,7426.63813869977
11877,1609,463.604262937545,4905.03759845009,7577.86074235989
12114,1609,315.635841281837,4892.36428841454,7566.9157646855
12152,1609,250.927644984185,4922.22710903757,7626.26809745169
12125,1610,600.887461663266,5086.85831107257,7593.75223450783
54113,1611,638.028249878157,5266.51298171948,7653.61445988054
53519,1612,316.99360576779,5531.39143879818,7504.03282367324
59023,1613,319.284001862094,5688.02026748318,7585.21724628724
45190,1615,455.013718726688,5997.46933845915,7518.37126148444
59042,1615,862.007006344183,5960.54114303082,7595.36729807145
59535,1615,387.13555377452,6025.1491395944,7629.11717616017
41807,1618,315.642054937335,6670.90984692581,7487.13869943776
41759,1619,471.567998585428,6797.05807197994,7459.77686541415
42222,1619,495.164884080426,6753.68818542809,7465.50081542826
59906,1621,325.929318961406,7280.13979980766,7480.08823043259
59970,1621,724.7259684045,7311.12647356061,7532.77123538275
6085,1622,706.05943855738,7530.78256537194,7565.99259756105
6139,1623,755.53951849508,7669.34026890008,7591.4923563397
6191,1623,246.983779412988,7675.74656424177,7615.70742968528
32594,1624,286.202914652226,7779.91118990903,7617.73269981022
46720,1633,546.951515312182,9614.3769026206,7440.37255317458
40059,1635,391.22682321677,10009.3445494869,7571.5383252427
36982,1638,397.169521337522,10659.0356971271,7407.94315061009
39911,1647,1094.67471782336,10027.7134803995,7690.94619197151
40089,1647,521.032959420093,10046.5180336306,7600.64668532413
47315,1648,723.701134732176,9801.51717209086,7639.59242983301
47008,1649,699.538531371753,9602.0241364526,7662.37934996424
47088,1649,1141.7080107394,9757.2809618653,7740.51720326861
47346,1649,818.15192872174,9771.21217994287,7671.49455171558
68871,1649,1199.16350892988,9653.55293806522,7772.22647512128
39567,1650,282.423418812554,9384.88026571676,7754.1169724906
47063,1650,660.776561184367,9531.47319738202,7705.78791814216
47360,1650,462.248590904946,9508.19168429847,7685.48874292559
67796,1650,211.89873127261,9399.23523429571,7758.12972425209
39556,1651,530.768648520007,9344.69604272838,7706.80903545802
32688,1652,145.567949034752,9033.38433111007,7664.80632989836
32774,1652,450.077296760981,9039.38263755862,7706.23301679027
67774,1652,413.269989264146,9090.45180991761,7738.35102556584
68461,1652,312.716644354418,9028.82415098129,7760.00669346385
66784,1653,386.175805240243,8962.30194615203,7753.09126557862
32446,1656,438.574321248828,7723.60782880381,7685.41301005354
6230,1656,368.105094690737,7692.87662043488,7636.17030688701
6242,1656,1557.14257719607,7718.65998428351,7644.98420365586
58293,1657,510.210781088041,7530.92172484518,7794.96256134716
6389,1657,620.257357408224,7546.86906464517,7705.47588748832
14013,1658,530.597039773138,7280.38889277916,7765.98946183783
14095,1658,639.282856362792,7175.83558872007,7812.3222033814
41963,1660,280.780790020678,6809.61530041812,7681.50308535458
41998,1660,417.653918698314,6771.8963880042,7729.48828616098
56453,1662,317.670164192936,6447.71941114593,7777.67699030988
57096,1662,227.198793463439,6443.3801803772,7740.20742210762
45396,1663,1297.20556810154,6259.26071453355,7664.25756979424
57136,1663,793.694069093591,6195.28421935761,7769.18806274771
57149,1663,851.31111276285,6209.02113638982,7772.68898922231
59160,1664,799.718637119558,5955.77694769271,7669.2448589042
62081,1665,1129.75085670389,5892.41173626755,7714.86905582831
62118,1665,1356.59124315854,5773.72657609662,7748.75937699495
59239,1666,723.146955744287,5558.94703747771,7740.16493915694
62188,1666,559.007547052809,5616.17620224672,7793.80018124765
53834,1667,1083.10450188403,5519.45979465787,7706.89842253245
55435,1667,293.936426269033,5423.54000413457,7707.3231706087
55519,1667,633.105542582794,5468.24130192481,7785.53029984749
55935,1673,391.785410142787,5160.04180845293,8041.1505795795
62364,1675,742.851582769085,5570.36273419984,7891.27650595339
63060,1675,146.034499916921,5651.15844528144,7975.82051552567
62321,1676,955.55408089425,5891.45048924848,7869.48571242692
